Height of Entrance,Height of the middle of the vault,Angle of Opening in Degree,Truss frequency along the length,Truss frequency space along the width,Truss depth,Number of elements,Number of joints,Total length of elements,Length of the longest member,Maximum displacement,Structure mass
29,21,37,20,5,-2.7,800,226,5898.40865635521,17.0819667641926,2.99746924975688,32770.351733868
22,24,13,47,11,-2,4136,1093,13659.3694472204,6.38335797679306,2.88131919407334,59010.3724824156
15,30,32,21,3,-2.4,504,151,4755.04462258034,18.1689086349475,0.960704520342575,27089.4264478058
16,25,25,13,6,-2.6,624,176,4516.48021971618,9.58213375841644,1.92847488240394,20458.1778356804
16,27,43,39,7,-1.9,2184,593,9804.90674615026,8.18878859995654,2.99414337449465,44616.1367069486
17,20,32,41,9,-1.6,2952,789,10234.7252596298,6.34279649493641,2.99753734896167,44741.0443628344
21,25,39,43,7,-3,2408,653,11797.8956951394,9.99260331267021,2.99118891978188,56458.6967495069
19,29,41,28,11,-3,2464,656,10913.7262163275,5.99389377376372,2.98046057134636,43016.2929264271
23,39,44,41,6,-2.1,1968,540,11849.6313886436,12.8892750325363,2.99632017331146,68223.4826203487
23,19,12,43,3,-2.9,1032,305,8403.04848393193,21.4761744775464,0.871215384871811,51808.9617649303
19,42,4,19,11,-2.4,1672,449,8520.02137962524,7.85756400023639,2.00799407907904,38856.4956396065
20,23,16,17,10,-2.1,1360,368,6845.08673689392,6.587536045135,2.66024027401398,28188.0642320264
19,35,15,26,8,-2.8,1664,451,8819.35612184138,9.18794253294331,1.3840837312692,42232.2494693684
23,30,16,29,7,-1.7,1624,443,8345.05384968604,10.3162775773398,2.86271526754992,40605.9373961171
18,33,27,46,14,-1.8,5152,1349,15561.0523476309,4.8828114858248,2.99927082230687,64234.8114916461
19,42,22,43,5,-2.6,1720,479,11960.6409995217,16.37430203328,1.78387823656022,80849.3844438182
28,26,37,40,6,-1.7,1920,527,10451.1561808244,13.8832664196627,2.95403050553346,67551.8151535349
21,20,16,28,12,-2.9,2688,713,10648.6055270042,5.80004062762325,2.2751924695503,41364.3539623825
21,19,1,41,11,-1.9,3608,955,11470.1966547842,6.11519860086096,2.3039059014742,47132.0880036254
29,21,0,33,4,-2.7,1056,302,7726.92237328227,20.9714555638385,2.79567812969546,46415.0370835284
21,35,19,45,11,-1.9,3960,1047,14362.1498008337,6.59065912800485,2.99927565711357,67278.8010433537
27,27,44,38,14,-2.8,4256,1117,15862.9411981238,6.07304217067388,2.99722969660839,87300.4898712152
29,38,2,20,9,-2.5,1440,390,8112.65436103737,10.0083392430361,2.13500024190682,41603.1147258624
17,42,0,14,14,-2.8,1568,421,8605.8542795166,7.78150763660856,2.36892623447702,36610.5638208323
29,30,36,41,10,-2.9,3280,872,14532.4445558643,9.06839881368704,2.83401223634612,69867.3735758469
25,22,38,32,10,-2.6,2560,683,10878.1685951806,7.86391688338351,2.99128337263925,50766.8630342042
24,31,14,40,6,-2.4,1920,527,10828.3338876624,12.6225034527142,2.00683349639039,62555.3937252329
15,19,27,39,10,-2.3,3120,830,10828.8039498562,5.54264269027891,2.95578386617525,43707.4245073368
17,16,27,27,12,-1.7,2592,688,8949.306645897,4.74799459933952,2.99073006940094,34344.4429931883
17,36,10,37,3,-2.8,888,263,8484.71282111352,21.5448596965968,2.99921118989369,57863.1202266136
